X,Y,Z
0,0,11.5
0,1,11.5
0,2,11.5
0,3,11
0,4,11.5
0,5,11.5
0,6,11.5
0,7,11.5
0,8,9
0,9,9
0,10,9
0,11,9
0,12,8.5
0,13,8.5
0,14,8.5
0,15,8.5
0,16,8.5
0,17,8.5
0,18,8.5
0,19,8.5
0,20,8.5
0,21,8.5
0,22,8.5
0,23,8.5
0,24,8.75
0,25,8.75
0,26,8.75
0,27,8.75
0,28,8.75
0,29,8.75
0,30,8.75
0,31,8.75
0,32,8.75
0,33,8.75
0,34,8.75
0,35,8.75
0,36,8
0,37,7.9
0,38,8
0,39,8
0,40,10.5
0,41,10.5
0,42,11.5
0,43,10.5
0,44,10.4
0,45,10.1
0,46,9.8
0,47,10
1,0,11
1,1,11.5
1,2,11.5
1,3,11.5
1,4,11.5
1,5,11.5
1,6,11.5
1,7,11.5
1,8,9
1,9,9
1,10,9
1,11,9
1,12,8.5
1,13,8.5
1,14,8.5
1,15,8.5
1,16,8.5
1,17,8.5
1,18,8.5
1,19,8.5
1,20,8.5
1,21,8.5
1,22,8.5
1,23,8.5
1,24,8.75
1,25,8.75
1,26,8.75
1,27,8.75
1,28,8.75
1,29,8.75
1,30,8.75
1,31,8.75
1,32,8.75
1,33,8.75
1,34,8.75
1,35,8.6
1,36,8.1
1,37,8.1
1,38,8
1,39,8
1,40,10.5
1,41,10.4
1,42,11.5
1,43,10.5
1,44,10.2
1,45,10.1
1,46,10.1
1,47,10
2,0,11
2,1,11.5
2,2,11.5
2,3,11.5
2,4,11.5
2,5,11.5
2,6,11.5
2,7,9
2,8,9
2,9,9
2,10,9
2,11,9
2,12,8.5
2,13,8.5
2,14,8.5
2,15,8.5
2,16,8.5
2,17,8.5
2,18,8.5
2,19,8.5
2,20,8.5
2,21,8.5
2,22,8.5
2,23,8.5
2,24,6.3
2,25,6.2
2,26,6.1
2,27,8.7
2,28,8.7
2,29,8.7
2,30,8.7
2,31,8.7
2,32,8.7
2,33,8.7
2,34,8.7
2,35,8.8
2,36,8.2
2,37,8.2
2,38,8.1
2,39,8
2,40,8
2,41,10.4
2,42,11.5
2,43,10.5
2,44,10.2
2,45,10.2
2,46,10.2
2,47,10
3,0,11
3,1,11.5
3,2,11.5
3,3,11.5
3,4,11.5
3,5,11.5
3,6,11.5
3,7,11.5
3,8,9
3,9,9
3,10,9
3,11,9.5
3,12,8.5
3,13,8.5
3,14,8.5
3,15,8.5
3,16,6
3,17,6
3,18,6
3,19,6
3,20,6
3,21,6
3,22,6
3,23,6
3,24,6.3
3,25,6.1
3,26,6.1
3,27,6.2
3,28,6.2
3,29,6.2
3,30,6.2
3,31,8.6
3,32,8.6
3,33,8.7
3,34,8.7
3,35,8.8
3,36,8.5
3,37,8.2
3,38,8.1
3,39,8.1
3,40,8
3,41,8
3,42,11.5
3,43,10.5
3,44,10.2
3,45,10
3,46,10.2
3,47,10
4,0,11.5
4,1,11.5
4,2,11.5
4,3,11.5
4,4,11.5
4,5,11.5
4,6,9
4,7,9
4,8,9
4,9,9
4,10,9
4,11,9
4,12,8.5
4,13,8.5
4,14,5.5
4,15,8
4,16,5.5
4,17,6
4,18,6
4,19,6
4,20,6
4,21,11.5
4,22,11.5
4,23,11
4,24,11.7
4,25,11.7
4,26,11.6
4,27,6
4,28,6.1
4,29,6.2
4,30,6.1
4,31,6.2
4,32,8.6
4,33,8.7
4,34,8.75
4,35,8.9
4,36,8.4
4,37,8.3
4,38,8.1
4,39,8.1
4,40,8
4,41,8
4,42,11.5
4,43,10.5
4,44,10.3
4,45,10.2
4,46,10.1
4,47,10
5,0,11.5
5,1,11.5
5,2,11.5
5,3,11.5
5,4,11.5
5,5,11.5
5,6,9
5,7,9
5,8,9
5,9,9
5,10,9
5,11,9
5,12,8.5
5,13,8.5
5,14,8.5
5,15,6
5,16,6
5,17,6
5,18,6
5,19,6
5,20,11.5
5,21,11.5
5,22,10.5
5,23,9
5,24,8
5,25,8.9
5,26,11
5,27,11.6
5,28,6
5,29,6
5,30,6
5,31,6
5,32,8.4
5,33,8.6
5,34,8.5
5,35,8.8
5,36,8.2
5,37,8.1
5,38,8.2
5,39,8.1
