X,Y,Z
0,0,1.5
0,1,1.5
0,2,1.8
0,3,1.7
0,4,1.5
0,5,1.7
0,6,1.5
0,7,2
0,8,1.8
0,9,2
0,10,1.8
0,11,2
0,12,3.5
0,13,3.5
0,14,1.5
0,15,1.3
0,16,1.5
0,17,1.5
0,18,1.5
0,19,1.5
0,20,1.5
0,21,1.5
0,22,1.5
0,23,1.5
0,24,0.5
0,25,0.5
0,26,3
0,27,3
0,28,2.8
0,29,2.8
0,30,3
0,31,3
0,32,3
0,33,0.75
0,34,0.5
0,35,0.5
0,36,5.5
0,37,6.5
0,38,6.5
0,39,4
0,40,4
0,41,4
0,42,3.9
0,43,1.5
0,44,3.8
0,45,4
0,46,3.8
0,47,4
1,0,1.8
1,1,1.8
1,2,1.6
1,3,1.7
1,4,1.7
1,5,1.6
1,6,1.5
1,7,1.9
1,8,1.9
1,9,2
1,10,4
1,11,6.9
1,12,3.5
1,13,3.5
1,14,1.5
1,15,1.3
1,16,1.5
1,17,1.5
1,18,1.5
1,19,1.5
1,20,1.5
1,21,1.5
1,22,1.5
1,23,1.3
1,24,0.5
1,25,0.5
1,26,4.2
1,27,0.2
1,28,2.9
1,29,2.7
1,30,2.9
1,31,3
1,32,3
1,33,3
1,34,0.75
1,35,1
1,36,6
1,37,6
1,38,6
1,39,4
1,40,4
1,41,4
1,42,3.9
1,43,1.5
1,44,3.8
1,45,4
1,46,3.8
1,47,4
2,0,1.9
2,1,2
2,2,1.9
2,3,1.7
2,4,1.8
2,5,1.7
2,6,1.8
2,7,3.8
2,8,4.1
2,9,4
2,10,4
2,11,6.8
2,12,4.5
2,13,3.5
2,14,3.5
2,15,3.5
2,16,1.5
2,17,1.5
2,18,1.5
2,19,1.5
2,20,1.5
2,21,1.5
2,22,1.5
2,23,1.3
2,24,1
2,25,0.5
2,26,0.2
2,27,0.2
2,28,0
2,29,2.7
2,30,2.9
2,31,3
2,32,2.9
2,33,3
2,34,3
2,35,3
2,36,6
2,37,6.5
2,38,6.25
2,39,4
2,40,4
2,41,4
2,42,4.1
2,43,2
2,44,3.6
2,45,4
2,46,3.8
2,47,4
3,0,1.9
3,1,2
3,2,1.7
3,3,1.6
3,4,4.7
3,5,4.7
3,6,4.8
3,7,3.8
3,8,4
3,9,4
3,10,4
3,11,6.5
3,12,6
3,13,6
3,14,6
3,15,6
3,16,6.3
3,17,6.3
3,18,6
3,19,1.5
3,20,1.5
3,21,6
3,22,1.5
3,23,1.5
3,24,3.1
3,25,0.3
3,26,0.2
3,27,0.1
3,28,0
3,29,2.8
3,30,2.9
3,31,3
3,32,3.1
3,33,3
3,34,3
3,35,3
3,36,6.25
3,37,6.5
3,38,6.5
3,39,4
3,40,4
3,41,4
3,42,4
3,43,2
3,44,3.8
3,45,4
3,46,4
3,47,4
4,0,1.9
4,1,6.3
4,2,1.9
4,3,6.2
4,4,6.3
4,5,6.6
4,6,6.4
4,7,3.9
4,8,6.2
4,9,4
4,10,4
4,11,6.5
4,12,4.3
4,13,6
4,14,6.3
4,15,6
4,16,6.3
4,17,6.3
4,18,6
4,19,6
4,20,6
4,21,6
4,22,6
4,23,6
4,24,3
4,25,3
4,26,0.2
4,27,0.1
4,28,0
4,29,0
4,30,2.9
4,31,3
4,32,3
4,33,3
4,34,3
4,35,3
4,36,6.5
4,37,6.5
4,38,6.5
4,39,4
4,40,4
4,41,4
4,42,4
4,43,1.5
4,44,3.8
4,45,4
4,46,4
4,47,3.5
5,0,6.5
5,1,6.1
5,2,6.3
5,3,6.2
5,4,6.5
5,5,1
5,6,1
5,7,6.7
5,8,4
5,9,6.5
5,10,4
5,11,4
5,12,6
5,13,6
5,14,6
5,15,6.3
5,16,6.5
5,17,6.3
5,18,6
5,19,6
5,20,6
5,21,6
5,22,6
5,23,6
5,24,3
5,25,3
5,26,0.3
5,27,3
5,28,0
5,29,0
5,30,2.9
5,31,3
5,32,3
5,33,3
5,34,3
5,35,3
5,36,6.25
5,37,6.5
5,38,6.5
5,39,4
5,40,4
5,41,4
5,42,4
5,43,1.5
5,44,3.8
5,45,4
5,46,2
5,47,1.5
6,0,6.2
6,1,6.2
6,2,6.2
6,3,6.2
6,4,6.3
6,5,1
6,6,1
6,7,6.5
6,8,6.3
6,9,6.5
6,10,6.5
6,11,6.5
6,12,6
6,13,6
6,14,6.3
6,15,6
6,16,6
6,17,6.3
6,18,6.3
6,19,6
6,20,6
6,21,6
6,22,6
6,23,6.5
6,24,3.1
6,25,3
6,26,0.3
6,27,0.1
6,28,2.9
6,29,0
6,30,0.1
6,31,3
6,32,3
6,33,3
6,34,3
6,35,3
6,36,6.25
6,37,6.5
6,38,6.5
6,39,6.5
6,40,6.3
6,41,4
6,42,4
6,43,1.5
6,44,3.8
6,45,4
6,46,1.5
6,47,1.5
7,0,6.3
7,1,6.2
7,2,6.6
7,3,6.2
7,4,6.5
7,5,6.3
7,6,6.5
7,7,6.5
7,8,6.2
7,9,6.5
7,10,6.3
7,11,6.5
7,12,6
7,13,6
7,14,6
7,15,6
7,16,6
7,17,6.3
7,18,6.5
7,19,6
7,20,6
7,21,6
7,22,6
7,23,6
7,24,3.1
7,25,3
7,26,0.3
7,27,3
7,28,2.9
7,29,0
7,30,0.1
7,31,3
7,32,3.1
7,33,3
7,34,3
7,35,3
7,36,6.25
7,37,6.5
7,38,6.3
7,39,6.5
7,40,6.3
