X,Y,Z
0,0,6
0,1,6
0,2,4
0,3,3.5
0,4,3.5
0,5,3.5
0,6,3.5
0,7,1
0,8,1
0,9,1
0,10,1
0,11,3.5
1,0,6
1,1,6
1,2,4
1,3,3.5
1,4,3.5
1,5,3.5
1,6,3.5
1,7,1
1,8,1
1,9,1
1,10,1
1,11,4
2,0,6
2,1,6
2,2,4
2,3,3.5
2,4,3.5
2,5,3.5
2,6,3.5
2,7,3.5
2,8,3.5
2,9,3.5
2,10,3.5
2,11,3.5
3,0,6
3,1,6
3,2,4
3,3,3.5
3,4,3.5
3,5,3.5
3,6,3.5
3,7,3.5
3,8,3.5
3,9,3.5
3,10,3.5
3,11,6
4,0,6
4,1,6
4,2,4
4,3,3.5
4,4,3.5
4,5,3.5
4,6,3.5
4,7,3.5
4,8,3.5
4,9,3.5
4,10,3.5
4,11,6
5,0,6
5,1,6
5,2,3.5
5,3,3.5
5,4,3.5
5,5,3.5
5,6,3.5
5,7,3.5
5,8,3.5
5,9,3.5
5,10,1
5,11,6
6,0,6
6,1,6
6,2,6
6,3,3.5
6,4,3.5
6,5,3.5
6,6,3.5
6,7,3.5
6,8,3.5
6,9,3.5
6,10,1
6,11,9.5
7,0,6
7,1,6
7,2,6
7,3,3.5
7,4,3.5
7,5,3.5
7,6,3.5
7,7,3.5
7,8,3.5
7,9,3.5
7,10,1
7,11,9.5
8,0,6
8,1,6
8,2,6
8,3,6
8,4,3.5
8,5,3.5
8,6,3.5
8,7,3.5
8,8,3.5
8,9,3.5
8,10,9.5
8,11,9.5
9,0,6
9,1,6
9,2,6
9,3,6
9,4,6
9,5,3.5
9,6,3.5
9,7,3.5
9,8,3.5
9,9,3.5
9,10,9.5
9,11,9.5
10,0,6
10,1,6
10,2,6
10,3,6
10,4,6
10,5,3.5
10,6,3.5
10,7,3.5
10,8,3.5
10,9,3.5
10,10,9.5
10,11,9.5
11,0,6
11,1,6
11,2,6
11,3,6
11,4,6
11,5,6
11,6,3.5
11,7,3.5
11,8,3.5
11,9,3.5
11,10,9.5
11,11,9.5
12,0,6
12,1,6
12,2,6
12,3,6
12,4,6
12,5,6
12,6,6
12,7,3.5
12,8,3.5
12,9,3.5
12,10,9.5
12,11,9.5
13,0,6
13,1,6
13,2,6
13,3,6
13,4,6
13,5,6
13,6,6
13,7,3.5
13,8,3.5
13,9,3.5
13,10,9.5
13,11,9.5
14,0,6
14,1,6
14,2,6
14,3,6
14,4,6
14,5,6
14,6,6
14,7,3.5
14,8,3.5
14,9,3.5
14,10,9.5
14,11,6
15,0,6
15,1,6
15,2,6
15,3,6
15,4,6
15,5,6
15,6,6
15,7,3.5
15,8,3.5
15,9,3.5
15,10,9.5
15,11,6
16,0,6
16,1,6
16,2,6
16,3,6
16,4,6
16,5,6
16,6,6
16,7,3.5
16,8,3.5
16,9,9.5
16,10,9.5
16,11,6
17,0,6
17,1,6
17,2,6
17,3,6
17,4,6
17,5,6
17,6,6
17,7,3.5
17,8,3.5
17,9,6
17,10,6
17,11,6
